phi_composition_average,AtomicNumber_min_value,AtomicWeight_min_value,k_condition,Number_min_value,BCCvolume_padiff_composition_average,ThermalExpansionCoefficient_min_value,ElectronAffinity_difference,ShearModulus_composition_average,CovalentRadius_max_value,phi_max_value,BulkModulus_min_value,NUnfilled_composition_average,ICSDVolume_max_value,BCCfermi_max_value,HeatFusion_max_value,NpValence_composition_average,valence_composition_average,NValance_composition_average,IsBoron_arithmetic_average,CovalentRadius_arithmetic_average,n_ws^third_difference,ThermalConductivity_composition_average,GSenergy_pa_composition_average,IonizationEnergy_min_value
1.7439285714285715,52.0,127.6,300,52.0,-3.130095237935714,5.2,140.15,14.771428571428574,207.0,4.15,28.0,5.092857142857143,37.4,8.46315729,17.38,2.192857142857143,4.621428571428573,11.635714285714286,0.0,164.33333333333334,0.020000000000000014,7.6411428571428575,-3.9841290446206425,538.1
1.4976190476190476,16.0,32.065,400,16.0,-7.408779761904763,8.6,180.42,13.047619047619047,160.0,4.15,7.7,3.7142857142857135,27.0,9.05054728,14.15,2.761904761904762,5.238095238095238,6.666666666666668,0.0,134.66666666666669,0.28,14.895095238095234,-4.953480676845238,658.0
4.228571428571429,30.0,65.38,300,30.0,-1.8014285714285714,11.0,0.0,33.142857142857146,139.0,4.4,42.0,1.2857142857142858,30.2,8.38916182,19.79,1.2857142857142858,3.2857142857142856,13.285714285714285,0.0,130.5,0.06000000000000005,76.7,-2.47315524,833.7
2.002,11.0,22.98976928,400,11.0,-3.34769999983,18.8,358.15,10.787,195.0,4.1,6.3,2.89,56.0,8.30350334,17.38,2.94,4.93,21.21,0.0,161.25,0.33,19.2466,-3.3225538558682994,495.8
1.4127999999999998,8.0,15.9994,400,8.0,-1.2283172414,6.9,0.0,17.252,201.0,4.45,17.0,2.4,44.1,7.57494268,12.91,2.4,3.02,5.48,0.0,145.5,0.7000000000000001,38.05444,-5.1041345415679995,530.0
3.579214285714285,11.0,22.98976928,700,11.0,-2.25607142857,11.0,0.0,15.43957142857143,176.0,4.4,6.3,2.0042857142857144,44.1,8.38916182,19.79,1.4285714285714286,3.4242857142857144,7.710000000000001,0.25,150.5,0.57,129.73285714285714,-3.131693741364272,495.8
4.67,14.0,28.0855,1000,14.0,-5.501,2.6,13.599999999999996,0.0,120.0,4.7,100.0,4.0,22.2,9.91441468,50.21,2.0,4.0,6.0,0.0,115.5,0.1299999999999999,130.38,-5.263142313,762.1
1.3439,8.0,15.9994,1000,8.0,-1.26138965519,21.7,0.0,15.037,187.0,4.45,17.0,2.05,44.1,7.57494268,12.91,2.4,2.88,5.67,0.0,142.0,0.7000000000000001,42.536840000000005,-4.821460270957799,589.8
1.7859375,8.0,15.9994,700,8.0,-1.14981249999375,13.0,0.0,20.146875,176.0,5.1,6.3,1.95,44.1,8.46315729,16.2,2.30625,2.2875,6.4875,0.0,136.4,0.93,57.941725,-4.8361784634999365,495.8
4.385,22.0,47.867,700,22.0,-2.6326666666666667,7.3,101.0,45.96,164.0,5.2,58.0,4.66,27.0,9.05054728,30.0,0.6666666666666666,3.6733333333333333,9.34,0.0,146.75,0.51,59.94533333333334,-5.776320222733332,658.0
1.4,8.0,15.9994,400,8.0,-1.2505172414,21.7,0.0,17.08,176.0,4.45,17.0,2.2,44.1,7.57494268,12.91,2.4,3.0,5.4,0.0,127.0,0.7000000000000001,41.72444,-5.047854106068,589.8
2.051,8.0,15.9994,700,8.0,-0.7850999999999999,23.1,96.1,21.33,122.0,4.2,70.0,1.05,17.3,7.76407342,10.71,2.01,2.01,8.91,0.3333333333333333,103.0,0.06999999999999984,59.34369999999999,-3.0234501420499997,577.6
1.4134,8.0,15.9994,700,8.0,-1.2197839080600001,9.8,0.0,17.451999999999998,192.0,4.45,17.0,2.26,44.1,7.57494268,12.91,2.4,3.02,5.62,0.0,143.25,0.7000000000000001,38.04844,-5.1004358523014,581.0
1.7,8.0,15.9994,300,8.0,-1.1538888888888892,13.0,0.0,18.311111111111114,176.0,5.1,17.0,1.7777777777777777,44.1,6.14041474,16.2,2.2222222222222223,2.2222222222222223,5.777777777777778,0.0,122.66666666666666,0.84,66.81522222222222,-4.649044105,589.8
4.276666666666667,28.0,58.6934,1000,28.0,-2.822583333333333,5.7,71.0,42.41666666666666,175.0,5.2,58.0,4.65,27.0,9.05054728,30.0,0.6666666666666666,3.6833333333333327,9.35,0.0,150.5,0.51,60.51666666666666,-6.0435661212500005,660.0
3.579857142857142,11.0,22.98976928,300,11.0,-2.25214285714,11.0,0.0,15.422,176.0,4.4,6.3,2.008571428571429,44.1,8.38916182,19.79,1.4285714285714286,3.42,7.705714285714286,0.25,150.5,0.57,129.48,-3.1287447920142566,495.8
1.5471428571428572,8.0,15.9994,400,8.0,-0.9671428571428572,6.9,91.1,11.428571428571427,201.0,4.45,32.0,4.142857142857142,34.2,4.378739700000001,13.6,2.2857142857142856,2.2857142857142856,6.7142857142857135,0.0,133.0,0.27,62.1528,-4.604646445714286,530.0
1.2357142857142858,8.0,15.9994,300,8.0,-1.3742857142857143,7.3,0.0,7.857142857142858,195.0,4.05,110.0,2.257142857142857,56.0,4.90182207,30.0,2.2857142857142856,2.3142857142857136,4.6,0.0,146.25,0.7999999999999999,5.198514285714285,-4.375948688857143,549.5
1.3626,8.0,15.9994,400,8.0,-1.2577655172600002,21.7,0.0,15.718,187.0,4.45,17.0,2.1,44.1,7.57494268,12.91,2.4,2.92,5.58,0.0,142.0,0.7000000000000001,42.26604,-4.8969248826612,589.8
4.228571428571429,30.0,65.38,300,30.0,-1.8014285714285714,11.0,0.0,33.142857142857146,139.0,4.4,42.0,1.2857142857142858,30.2,8.38916182,19.79,1.2857142857142858,3.2857142857142856,13.285714285714285,0.0,130.5,0.06000000000000005,76.7,-2.47315524,833.7
4.454722222222221,26.0,55.845,400,26.0,-3.2434722222222225,5.2,77.0,33.25,204.0,5.1,22.0,4.25,34.4,8.38916182,19.79,2.1666666666666665,5.083333333333333,12.861111111111109,0.0,150.25,0.5800000000000001,36.555555555555564,-5.0467594390277775,527.8
2.571565,3.0,6.941,1000,3.0,-0.8836293333292999,13.4,81.3,37.13122,128.0,5.2,11.0,1.9879,21.6,5.09579251,17.48,2.0,2.4758,7.8911,0.0,106.0,0.77,45.4111,-5.107073341814001,520.0
4.444262295081966,27.0,58.933195,300,27.0,-2.5738524590163934,7.3,51.0,44.180327868852466,164.0,5.1,58.0,4.639344262295083,27.0,9.05054728,30.0,0.6557377049180328,3.98360655737705,9.327868852459018,0.0,143.0,0.51,73.86885245901641,-7.045500728606558,664.0
2.956711409395973,29.0,63.54600000000001,400,29.0,-1.9228859060402683,16.5,76.66000000000003,33.13422818791946,132.0,4.45,8.3,1.335570469798658,29.8,5.61176057,13.6,1.342281879194631,3.3422818791946316,12.677852348993287,0.0,126.0,0.0,267.1208053691276,-3.6102310246979865,745.4
1.7831249999999998,8.0,15.9994,300,8.0,-1.167,13.0,0.0,20.22375,176.0,5.1,17.0,1.93125,44.1,8.46315729,16.2,2.30625,2.30625,6.50625,0.0,129.0,0.84,59.047975,-4.84908011690625,589.8
4.319166666666667,22.0,47.867,400,22.0,-2.7570833333333336,5.7,101.0,43.08333333333333,175.0,5.2,58.0,4.666666666666666,27.0,9.05054728,27.2,0.6666666666666666,3.666666666666666,10.966666666666667,0.0,154.6,0.51,59.955,-6.1050100191666665,642.0
1.465,8.0,15.9994,300,8.0,-1.1215172414,21.7,297.1,18.34,198.0,4.45,17.0,3.0,44.1,7.57494268,12.91,2.4,3.1,6.0,0.0,144.75,0.7000000000000001,23.05444,-5.3243591130680015,543.0
1.6524599999999998,8.0,15.9994,300,8.0,-0.915285,5.2,309.1,17.7842,207.0,5.1,28.0,3.582,56.0,7.77495265,16.2,2.4,2.398,5.997999999999999,0.0,148.5,0.91,22.8405,-5.24917274383,538.1
1.289629231595916,8.0,15.9994,700,8.0,-1.2981058570660935,4.5,81.1,43.25631380977969,162.0,4.8,310.0,3.0746910263299303,17.3,7.37947651,52.31,2.9253089736700697,3.0746910263299303,9.761418592154756,0.0,114.0,0.0,46.94461655024181,-6.960448195972595,770.0
1.56,8.0,15.9994,300,8.0,-0.997,32.1,112.1,0.0,142.0,3.9,0.0,3.2,26.1,8.39826763,3.2910000000000004,2.8,2.4,8.8,0.5,104.0,0.0,32.80044,-3.920795927,558.3
3.4219230769230773,25.0,54.938044999999995,700,25.0,-2.0733687002692305,11.0,0.0,16.792307692307695,187.0,4.45,31.0,1.4615384615384617,41.1,8.38916182,19.79,1.2692307692307692,4.0,15.230769230769232,0.0,155.0,0.6900000000000001,29.37384615384615,-2.8826541580900003,603.0
1.4127999999999998,8.0,15.9994,1000,8.0,-1.2283172414,6.9,0.0,17.252,201.0,4.45,17.0,2.4,44.1,7.57494268,12.91,2.4,3.02,5.48,0.0,145.5,0.7000000000000001,38.05444,-5.1041345415679995,530.0
2.87,47.0,107.8682,700,47.0,-2.2764444443333334,18.8,160.15,23.52,145.0,4.35,43.0,1.6,33.9,7.95791419,17.38,1.4,3.4,13.733333333333334,0.3333333333333333,142.66666666666669,0.24,261.25666666666666,-2.8578488068900003,589.3
2.036,11.0,22.98976928,700,11.0,-3.271599999855,18.8,142.26,9.8545,166.0,4.1,6.3,2.97,39.7,8.30350334,17.38,2.9799999999999995,4.97,21.73,0.0,142.5,0.33,19.85875,-3.38618988131805,495.8
1.3439,8.0,15.9994,300,8.0,-1.26138965519,21.7,0.0,15.037,187.0,4.45,17.0,2.05,44.1,7.57494268,12.91,2.4,2.88,5.67,0.0,142.0,0.7000000000000001,42.536840000000005,-4.821460270957799,589.8
2.266,8.0,15.9994,400,8.0,-0.889925,4.9,371.1,40.015,141.0,4.65,45.0,2.705,23.4,7.97704267,21.0,2.0,2.97,7.22,0.0,119.5,0.56,124.27595,-5.615262960775,652.8
1.586,8.0,15.9994,300,8.0,-1.1712,5.7,112.1,0.0,142.0,4.55,0.0,3.16,26.1,8.39826763,36.94,2.84,2.44,8.84,0.3333333333333333,109.33333333333334,0.20000000000000015,31.932440000000003,-3.9987654304,558.3
1.9928571428571429,16.0,32.065,300,16.0,-4.222410714142857,4.8,104.42,15.428571428571427,154.0,4.65,7.7,3.7142857142857135,33.9,8.63699786,37.48,2.2857142857142856,6.0,10.285714285714286,0.0,132.33333333333334,0.0,60.188428571428574,-6.579921078394285,684.9
4.086296296296296,31.0,69.723,300,31.0,-2.596851851851852,5.7,0.0,0.725925925925926,215.0,4.55,9.6,3.703703703703704,62.8,4.38004256,36.94,1.4074074074074074,3.4074074074074074,11.925925925925926,0.3333333333333333,152.33333333333334,0.56,48.03333333333333,-3.7419527642592585,502.9
4.566666666666666,27.0,58.933195,700,27.0,-3.2608641975308643,11.0,72.0,33.333333333333336,142.0,5.1,42.0,3.0246913580246915,30.2,8.39826763,19.79,2.2345679012345685,4.481481481481481,13.493827160493824,0.3333333333333333,135.66666666666669,0.5800000000000001,43.69876543209877,-4.831065743950617,558.3
1.439,8.0,15.9994,300,8.0,-1.1836172414,11.3,0.0,18.196,190.0,4.45,17.0,2.74,44.1,7.57494268,12.91,2.4,3.06,5.46,0.0,142.75,0.7000000000000001,30.75644,-5.318830318668001,589.8
2.269000000000001,8.0,15.9994,700,8.0,-0.8899499999999999,4.9,371.1,40.26,141.0,4.65,45.0,2.72,23.4,7.97704267,21.0,2.0,2.98,7.229999999999999,0.0,119.5,0.56,124.1202,-5.63517157135,652.8
2.05025,8.0,15.9994,1000,8.0,-0.7868999999999999,23.1,96.1,21.4575,122.0,4.2,70.0,1.0125,17.3,7.76407342,10.71,2.0025,2.0025,8.9775,0.3333333333333333,103.0,0.06999999999999984,58.4362,-3.0046594680124996,577.6
4.069629629629628,31.0,69.723,700,31.0,-2.475833333333333,5.7,0.0,0.725925925925926,215.0,4.55,9.6,3.740740740740741,62.8,4.38004256,36.94,1.3703703703703702,3.3703703703703702,11.888888888888891,0.3333333333333333,152.33333333333334,0.56,47.31851851851852,-3.68255334787037,502.9
1.1631999999999998,8.0,15.9994,400,8.0,-1.2727999999999997,7.3,0.0,9.070222222222222,215.0,4.05,9.6,2.888888888888889,62.8,4.90182207,30.0,2.6666666666666665,2.666666666666667,5.333333333333334,0.0,160.0,0.8299999999999998,13.14818888888889,-5.611564940822222,502.9
2.5935482258870564,3.0,6.941,700,3.0,-0.8823618190893553,13.4,81.3,37.78216891554223,128.0,5.2,11.0,1.9967016491754124,21.6,5.09579251,17.48,1.9990004997501252,2.4936531734132936,7.971314342828586,0.0,106.0,0.77,45.486506746626695,-5.139629340836582,520.0
1.432,8.0,15.9994,700,8.0,-1.2923172414,13.4,0.0,17.172,176.0,4.45,17.0,2.26,44.1,8.46315729,12.91,2.46,3.06,5.94,0.0,132.25,0.7000000000000001,37.88184,-5.088361402768,589.8
1.7600000000000002,51.0,121.76,300,51.0,-5.665999999799999,11.0,89.15,17.6,139.0,4.4,42.0,2.4,33.9,8.38916182,19.79,3.6,5.6,15.6,0.0,138.5,0.0,11.13,-3.5317264400019996,833.7
1.4047999999999998,8.0,15.9994,300,8.0,-1.258966896572,7.3,0.0,16.9384,176.0,4.45,17.0,2.22,44.1,8.46315729,30.0,2.412,3.004,5.5,0.0,138.6,0.7299999999999999,41.13944,-5.060246590526639,589.8
4.086296296296296,31.0,69.723,400,31.0,-2.596851851851852,5.7,0.0,0.725925925925926,215.0,4.55,9.6,3.703703703703704,62.8,4.38004256,36.94,1.4074074074074074,3.4074074074074074,11.925925925925926,0.3333333333333333,152.33333333333334,0.56,48.03333333333333,-3.7419527642592585,502.9
4.268666666666667,28.0,58.6934,1000,28.0,-2.828516666666667,5.7,71.0,42.35,175.0,5.2,58.0,4.663333333333333,27.0,9.05054728,30.0,0.6666666666666666,3.67,9.336666666666666,0.0,150.5,0.51,60.10333333333334,-6.022934614916668,660.0
4.385,22.0,47.867,300,22.0,-2.6326666666666667,7.3,101.0,45.96,164.0,5.2,58.0,4.66,27.0,9.05054728,30.0,0.6666666666666666,3.6733333333333333,9.34,0.0,146.75,0.51,59.94533333333334,-5.776320222733332,658.0
1.7439285714285715,52.0,127.6,1000,52.0,-3.130095237935714,5.2,140.15,14.771428571428574,207.0,4.15,28.0,5.092857142857143,37.4,8.46315729,17.38,2.192857142857143,4.621428571428573,11.635714285714286,0.0,164.33333333333334,0.020000000000000014,7.6411428571428575,-3.9841290446206425,538.1
1.256,8.0,15.9994,1000,8.0,-1.2693,8.6,0.0,10.418,195.0,3.8,41.0,2.98,56.0,3.23208944,14.15,2.4,2.42,4.82,0.0,152.75,0.68,5.51984,-4.8413190105,549.5
1.56,8.0,15.9994,700,8.0,-0.997,32.1,112.1,0.0,142.0,3.9,0.0,3.2,26.1,8.39826763,3.2910000000000004,2.8,2.4,8.8,0.5,104.0,0.0,32.80044,-3.920795927,558.3
2.3937500000000003,16.0,32.065,400,16.0,-5.0821875,4.8,104.42,17.0,154.0,5.2,7.7,3.5,25.7,8.63699786,37.48,2.0,5.625,6.5,0.0,127.66666666666669,0.020000000000000014,63.222,-6.809189344375,684.9
4.566666666666666,27.0,58.933195,300,27.0,-3.2608641975308643,11.0,72.0,33.333333333333336,142.0,5.1,42.0,3.0246913580246915,30.2,8.39826763,19.79,2.2345679012345685,4.481481481481481,13.493827160493824,0.3333333333333333,135.66666666666669,0.5800000000000001,43.69876543209877,-4.831065743950617,558.3
4.266666666666668,28.0,58.6934,400,28.0,-2.83,5.7,71.0,42.33333333333333,175.0,5.2,58.0,4.666666666666666,27.0,9.05054728,21.0,0.6666666666666666,3.666666666666666,9.333333333333334,0.0,146.0,0.51,60.0,-6.017776738333334,660.0
1.66,52.0,127.6,300,52.0,-5.093999999799999,13.4,80.15,14.4,148.0,4.15,31.0,2.4,35.3,8.46315729,17.38,3.6,5.6,21.2,0.0,143.0,0.0,4.558,-3.4742592640020002,703.3
2.2424183006535947,16.0,32.065,700,16.0,-5.316013071895425,4.8,176.42,14.81045751633987,154.0,4.93,7.7,3.738562091503268,25.7,8.63699786,37.48,2.0915032679738563,6.0,6.169934640522874,0.0,130.33333333333334,0.0,61.072679738562094,-7.099706538431373,684.9
1.3813,8.0,15.9994,1000,8.0,-1.25414137933,21.7,0.0,16.398999999999994,187.0,4.45,17.0,2.15,44.1,7.57494268,12.91,2.4,2.96,5.49,0.0,142.0,0.7000000000000001,41.99524,-4.9723894943646005,589.8
1.56026,8.0,15.9994,300,8.0,-0.998742,5.7,112.1,0.0,142.0,4.55,0.0,3.1996,26.1,8.39826763,36.94,2.8004,2.4004,8.8004,0.3333333333333333,109.33333333333334,0.20000000000000015,32.791760000000004,-3.921575622034,558.3
4.462941176470588,26.0,55.845,400,26.0,-3.1655882352941176,5.2,77.0,33.82352941176471,204.0,5.1,22.0,4.294117647058823,34.4,8.38916182,19.79,2.117647058823529,5.0,12.764705882352944,0.0,150.25,0.5800000000000001,37.85882352941177,-5.065985879705883,527.8
4.266666666666668,28.0,58.6934,700,28.0,-2.83,5.7,71.0,42.33333333333333,175.0,5.2,58.0,4.666666666666666,27.0,9.05054728,21.0,0.6666666666666666,3.666666666666666,9.333333333333334,0.0,146.0,0.51,60.0,-6.017776738333334,660.0
1.4134,8.0,15.9994,400,8.0,-1.2197839080600001,9.8,0.0,17.451999999999998,192.0,4.45,17.0,2.26,44.1,7.57494268,12.91,2.4,3.02,5.62,0.0,143.25,0.7000000000000001,38.04844,-5.1004358523014,581.0
2.956711409395973,29.0,63.54600000000001,300,29.0,-1.9228859060402683,16.5,76.66000000000003,33.13422818791946,132.0,4.45,8.3,1.335570469798658,29.8,5.61176057,13.6,1.342281879194631,3.3422818791946316,12.677852348993287,0.0,126.0,0.0,267.1208053691276,-3.6102310246979865,745.4
3.836666666666667,12.0,24.305,300,12.0,-1.9813333333333332,2.6,0.0,11.013333333333332,176.0,4.7,17.0,1.3333333333333333,44.1,9.91441468,50.21,0.6666666666666666,2.6666666666666665,2.6666666666666665,0.0,142.66666666666666,0.59,154.8,-2.8500227835,589.8
2.036,11.0,22.98976928,400,11.0,-3.271599999855,18.8,142.26,9.8545,166.0,4.1,6.3,2.97,39.7,8.30350334,17.38,2.9799999999999995,4.97,21.73,0.0,142.5,0.33,19.85875,-3.38618988131805,495.8
4.319166666666667,22.0,47.867,700,22.0,-2.7570833333333336,5.7,101.0,43.08333333333333,175.0,5.2,58.0,4.666666666666666,27.0,9.05054728,27.2,0.6666666666666666,3.666666666666666,10.966666666666667,0.0,154.6,0.51,59.955,-6.1050100191666665,642.0
1.546142857142857,8.0,15.9994,1000,8.0,-0.9666,6.9,0.0,11.414285714285715,201.0,4.45,32.0,4.1400000000000015,34.2,4.378739700000001,13.6,2.2857142857142856,2.2857142857142856,6.717142857142857,0.0,130.25,0.27,61.33851428571429,-4.5976731459857145,530.0
1.7859375,8.0,15.9994,400,8.0,-1.14981249999375,13.0,0.0,20.146875,176.0,5.1,6.3,1.95,44.1,8.46315729,16.2,2.30625,2.2875,6.4875,0.0,136.4,0.93,57.941725,-4.8361784634999365,495.8
2.453125,52.0,127.6,400,52.0,-2.9849999998750003,13.4,160.15,8.325,148.0,4.15,31.0,3.75,35.3,8.46315729,17.38,2.25,4.25,23.0,0.3333333333333333,143.66666666666669,0.03999999999999981,27.304375000000004,-2.70472545062625,589.3
4.069629629629628,31.0,69.723,1000,31.0,-2.475833333333333,5.7,0.0,0.725925925925926,215.0,4.55,9.6,3.740740740740741,62.8,4.38004256,36.94,1.3703703703703702,3.3703703703703702,11.888888888888891,0.3333333333333333,152.33333333333334,0.56,47.31851851851852,-3.68255334787037,502.9
3.4219230769230773,25.0,54.938044999999995,1000,25.0,-2.0733687002692305,11.0,0.0,16.792307692307695,187.0,4.45,31.0,1.4615384615384617,41.1,8.38916182,19.79,1.2692307692307692,4.0,15.230769230769232,0.0,155.0,0.6900000000000001,29.37384615384615,-2.8826541580900003,603.0
2.272,8.0,15.9994,1000,8.0,-0.889975,4.9,371.1,40.505,141.0,4.65,45.0,2.735,23.4,7.97704267,21.0,2.0,2.99,7.239999999999998,0.0,119.5,0.56,123.96445,-5.6550801819249985,652.8
2.5935482258870564,3.0,6.941,1000,3.0,-0.8823618190893553,13.4,81.3,37.78216891554223,128.0,5.2,11.0,1.9967016491754124,21.6,5.09579251,17.48,1.9990004997501252,2.4936531734132936,7.971314342828586,0.0,106.0,0.77,45.486506746626695,-5.139629340836582,520.0
1.56,8.0,15.9994,400,8.0,-0.997,32.1,112.1,0.0,142.0,3.9,0.0,3.2,26.1,8.39826763,3.2910000000000004,2.8,2.4,8.8,0.5,104.0,0.0,32.80044,-3.920795927,558.3
1.3984,8.0,15.9994,1000,8.0,-1.250606896572,7.3,0.0,16.92,176.0,4.45,17.0,2.208,44.1,7.57494268,30.0,2.4,2.992,5.392,0.0,136.25,0.7299999999999999,41.90796,-5.0521451311866405,589.8
1.4,8.0,15.9994,400,8.0,-1.2505172414,21.7,0.0,17.08,176.0,4.45,17.0,2.2,44.1,7.57494268,12.91,2.4,3.0,5.4,0.0,127.0,0.7000000000000001,41.72444,-5.047854106068,589.8
1.5678,8.0,15.9994,400,8.0,-1.04926,5.7,112.1,0.0,142.0,4.55,0.0,3.188,26.1,8.39826763,36.94,2.812,2.412,8.812000000000001,0.3333333333333333,109.33333333333334,0.20000000000000015,32.540040000000005,-3.9441867780199997,558.3
1.7559375,8.0,15.9994,700,8.0,-1.11062499999375,13.0,0.0,20.060625,176.0,5.1,6.3,1.89375,44.1,6.14041474,16.2,2.25,2.23125,5.98125,0.0,133.5,0.93,61.5441625,-4.798202872843686,495.8
2.036,11.0,22.98976928,400,11.0,-3.235933333205,18.8,142.26,9.2395,166.0,4.1,6.3,2.97,39.7,8.30350334,17.38,2.98,4.97,21.73,0.0,142.5,0.33,19.84325,-3.4026643514845496,495.8
1.9928571428571429,42.0,95.96,400,42.0,-3.693333333142857,4.8,94.15,17.714285714285715,154.0,4.65,65.0,3.7142857142857135,33.9,8.63699786,37.48,2.2857142857142856,6.0,11.714285714285715,0.0,146.0,0.0,60.485714285714295,-6.443361905240001,684.9
1.9928571428571429,16.0,32.065,1000,16.0,-4.222410714142857,4.8,104.42,15.428571428571427,154.0,4.65,7.7,3.7142857142857135,33.9,8.63699786,37.48,2.2857142857142856,6.0,10.285714285714286,0.0,132.33333333333334,0.0,60.188428571428574,-6.579921078394285,684.9
2.05,8.0,15.9994,400,8.0,-0.7875,30.2,0.0,21.5,122.0,4.1,70.0,1.0,17.3,3.91507328,7.068,2.0,2.0,9.0,0.0,94.0,0.0,58.1337,-2.99839591,906.4
1.3559799713876968,52.0,127.6,1000,52.0,-3.4537279444921314,5.2,140.15,15.144492131616595,207.0,3.17,28.0,4.994277539341917,37.4,7.95791419,17.38,2.28898426323319,4.716738197424894,10.439198855507867,0.0,172.5,0.0,7.119456366237482,-3.9053752675007147,538.1
2.036,11.0,22.98976928,300,11.0,-3.32509999983,18.8,137.45,10.777000000000001,166.0,4.1,6.3,2.97,39.7,8.30350334,17.38,2.98,4.97,21.73,0.0,150.0,0.33,19.882,-3.3614781760683,495.8
2.2750000000000004,8.0,15.9994,400,8.0,-0.8899999999999999,4.9,77.1,40.75,139.0,4.65,140.0,2.75,17.3,7.97704267,21.0,2.0,3.0,7.25,0.0,112.33333333333334,0.26,123.8087,-5.6749887925,652.8
1.1846938775510203,8.0,15.9994,300,8.0,-1.365408163265306,7.3,0.0,8.1,195.0,4.05,170.0,2.5510204081632653,56.0,4.90182207,30.0,2.5306122448979598,2.5510204081632653,5.081632653061225,0.0,141.66666666666666,0.7999999999999999,10.680804081632653,-5.172362555612246,549.5
2.0525,8.0,15.9994,700,8.0,-0.7815,23.1,96.1,21.075,122.0,4.2,70.0,1.125,17.3,7.76407342,10.71,2.025,2.025,8.774999999999999,0.3333333333333333,103.0,0.06999999999999984,61.15869999999999,-3.061031490125,577.6
1.664285714285714,8.0,15.9994,700,8.0,-1.6092857142857142,13.0,309.1,13.3,195.0,5.1,31.0,2.0,56.0,8.46315729,16.2,2.714285714285714,2.5714285714285707,9.142857142857142,0.0,133.75,0.91,16.067085714285714,-4.537723537857143,549.5
4.433333333333334,27.0,58.933195,300,27.0,-2.62,7.3,51.0,43.66666666666666,164.0,5.1,58.0,4.666666666666667,27.0,9.05054728,30.0,0.6666666666666666,4.0,9.333333333333334,0.0,143.0,0.51,73.43333333333334,-7.044919255,664.0
1.439,8.0,15.9994,700,8.0,-1.1836172414,11.3,0.0,18.196,190.0,4.45,17.0,2.74,44.1,7.57494268,12.91,2.4,3.06,5.46,0.0,142.75,0.7000000000000001,30.75644,-5.318830318668001,589.8
4.385846007604563,14.0,28.0855,400,14.0,-4.320543726235742,2.6,0.0,3.6146387832699625,215.0,5.15,9.6,3.072813688212928,62.8,9.91441468,50.21,1.4832699619771863,3.5895437262357417,5.927566539923955,0.0,154.0,0.76,146.24923954372625,-4.65696599134886,502.9
4.291666666666667,28.0,58.6934,300,28.0,-2.810833333333333,5.7,10.0,41.83333333333333,175.0,5.2,58.0,4.666666666666666,27.0,9.05054728,27.2,0.6666666666666666,3.666666666666666,11.666666666666668,0.0,153.25,0.51,60.05,-6.252500201666668,642.0
2.87,47.0,107.8682,300,47.0,-2.2764444443333334,18.8,160.15,23.52,145.0,4.35,43.0,1.6,33.9,7.95791419,17.38,1.4,3.4,13.733333333333334,0.3333333333333333,142.66666666666669,0.24,261.25666666666666,-2.8578488068900003,589.3
1.5492857142857142,8.0,15.9994,300,8.0,-0.9671428571428572,6.9,91.1,11.508571428571427,201.0,5.2,32.0,4.145714285714286,34.2,5.09579251,17.48,2.2857142857142856,2.2885714285714283,6.711428571428571,0.0,130.75,0.55,61.26622857142856,-4.609976930714286,530.0
4.572897196261682,27.0,58.933195,400,27.0,-3.292928348909657,11.0,72.0,33.64485981308411,142.0,5.1,42.0,3.006230529595016,30.2,8.39826763,19.79,2.2461059190031154,4.4953271028037385,13.498442367601244,0.3333333333333333,135.66666666666669,0.5800000000000001,43.344548286604365,-4.851292508286604,558.3
1.4,8.0,15.9994,1000,8.0,-1.2505172414,21.7,0.0,17.08,176.0,4.45,17.0,2.2,44.1,7.57494268,12.91,2.4,3.0,5.4,0.0,127.0,0.7000000000000001,41.72444,-5.047854106068,589.8
4.228571428571429,30.0,65.38,700,30.0,-1.8014285714285714,11.0,0.0,33.142857142857146,139.0,4.4,42.0,1.2857142857142858,30.2,8.38916182,19.79,1.2857142857142858,3.2857142857142856,13.285714285714285,0.0,130.5,0.06000000000000005,76.7,-2.47315524,833.7
1.685294117647059,51.0,121.76,300,51.0,-4.4294391243055165,11.0,249.81,13.076151390788874,244.0,4.4,1.6,2.2713178294573644,67.5,8.46315729,19.79,3.2749658002735984,5.18422252621979,19.358413132694942,0.0,161.6,0.71,7.405456908344734,-3.2341450845857183,375.7
4.462352941176472,26.0,55.845,300,26.0,-3.1101470588235296,5.2,77.0,33.82352941176471,207.0,5.1,28.0,3.5294117647058822,37.4,8.38916182,19.79,2.117647058823529,4.941176470588236,12.705882352941178,0.0,151.0,0.5900000000000001,37.982352941176465,-5.074866852352941,538.1
1.2357142857142858,8.0,15.9994,700,8.0,-1.3742857142857143,7.3,0.0,7.857142857142858,195.0,4.05,110.0,2.257142857142857,56.0,4.90182207,30.0,2.2857142857142856,2.3142857142857136,4.6,0.0,146.25,0.7999999999999999,5.198514285714285,-4.375948688857143,549.5
4.564615384615385,27.0,58.933195,700,27.0,-3.2503076923076923,11.0,72.0,33.230769230769226,142.0,5.1,42.0,3.0307692307692307,30.2,8.39826763,19.79,2.230769230769231,4.476923076923077,13.492307692307694,0.3333333333333333,135.66666666666669,0.5800000000000001,43.815384615384616,-4.824406470769231,558.3
